<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20111113,25467.10,25467.10,25372.60,25372.60,144379710
Overall Index,20111114,25372.10,25381.90,25366.60,25366.60,142193875
Overall Index,20111116,25376.70,25385.10,25366.40,25366.40,173922705
Overall Index,20111119,25366.10,25382.60,25361.70,25366.70,165880308
Overall Index,20111120,25378.40,25378.40,25298.30,25298.30,179816900
Overall Index,20111121,25297.80,25297.80,25207.20,25207.20,122866879
Overall Index,20111122,25210.30,25210.30,24881.00,24881.00,175025086
Overall Index,20111123,24871.20,24871.20,24568.20,24568.20,134427828
Overall Index,20111126,24561.70,24561.70,24468.20,24468.20,95931879
Overall Index,20111127,24466.90,24466.90,24056.40,24056.40,227632770
Overall Index,20111128,24057.50,24057.50,23977.50,23977.70,147847795
Overall Index,20111129,23975.90,24089.20,23975.90,24089.20,134056555
Overall Index,20111130,24089.00,24089.00,24007.70,24016.50,206567068
Overall Index,20111203,24016.50,24116.60,24016.50,24116.60,130677503
Overall Index,20111204,24111.60,24356.90,24111.60,24356.90,130910859
Overall Index,20111207,24355.80,24662.60,24355.80,24662.60,151542889
Overall Index,20111210,24673.00,24735.00,24673.00,24688.20,219092436
Overall Index,20111211,24693.60,24694.60,24541.20,24546.30,118233800
Overall Index,20111212,24551.80,24559.70,24551.30,24554.90,118783366
Overall Index,20111213,24570.90,24619.30,24567.30,24618.10,152392615
Overall Index,20111214,24619.80,24623.60,24584.60,24590.70,207335312
Overall Index,20111217,24586.90,24599.00,24528.30,24528.30,105882749
Overall Index,20111218,24528.80,24608.00,24528.80,24604.00,141056061
Overall Index,20111219,24603.40,24648.70,24603.40,24638.20,139712311
Overall Index,20111220,24641.10,24649.60,24588.50,24588.50,137981667
Overall Index,20111221,24641.10,24649.60,24493.70,24494.00,214139312
Overall Index,20111224,24468.00,24494.20,24456.70,24456.70,142213111
Overall Index,20111225,24469.60,24485.50,24455.10,24455.10,151504091
Overall Index,20111226,24459.10,24476.20,24377.30,24377.30,170698236
Overall Index,20111227,24377.20,24377.20,24327.20,24327.20,94819226
Overall Index,20111228,24321.50,24336.00,24318.90,24320.80,121728846
Overall Index,20111231,24320.80,24403.10,24320.80,24403.10,130246583
Overall Index,20120101,24401.70,24442.80,24400.90,24400.90,120470894
Overall Index,20120102,24395.40,24395.40,24323.70,24323.70,93345596
Overall Index,20120103,24326.80,24507.00,24326.80,24507.00,142453855
Overall Index,20120104,24520.20,24839.10,24520.20,24839.10,291902338
Overall Index,20120107,24838.80,24902.90,24838.80,24887.90,237667947
Overall Index,20120108,24889.30,24893.20,24854.80,24854.90,185972972
Overall Index,20120109,24863.00,25084.60,24863.00,25082.70,175527671
Overall Index,20120110,25118.40,25207.40,25118.40,25207.40,127983559
Overall Index,20120111,25210.60,25440.40,25210.60,25440.30,319269521
Overall Index,20120115,25439.90,25756.10,25439.90,25755.30,599310735
Overall Index,20120116,25771.60,25909.90,25771.60,25903.40,217543939
Overall Index,20120117,25904.10,25923.00,25692.80,25692.80,152627052
Overall Index,20120118,25721.20,25811.60,25718.80,25811.20,243296557
Overall Index,20120121,25827.50,25834.90,25770.00,25772.30,113216675
Overall Index,20120123,25782.60,25801.70,25620.70,25620.70,117049993
Overall Index,20120125,25626.00,25629.50,25540.40,25540.50,146699803
Overall Index,20120128,25608.20,25723.00,25608.20,25723.00,129312221
Overall Index,20120129,25770.70,25945.30,25770.70,25931.30,354183138
Overall Index,20120130,25954.30,25986.20,25912.90,25912.90,108259964
Overall Index,20120131,25923.60,26008.00,25913.80,25913.80,174753467
Overall Index,20120201,25918.50,25939.10,25878.20,25878.20,149452396
Overall Index,20120204,25898.20,25952.00,25898.20,25907.00,231799348
Overall Index,20120205,25919.30,25926.00,25717.60,25717.60,182320405
Overall Index,20120206,25698.50,25698.50,25579.80,25579.80,180532245
Overall Index,20120207,25581.00,25587.70,25436.60,25436.60,116172775
Overall Index,20120208,25437.30,25439.70,25371.70,25371.70,169584156
Overall Index,20120212,25377.40,25381.50,25320.70,25320.70,98569072
Overall Index,20120213,25326.10,25327.40,25279.70,25279.80,124865598
Overall Index,20120214,25223.90,25225.20,24946.40,24946.40,142491186
Overall Index,20120215,24947.00,24947.00,24829.30,24829.30,264701265
Overall Index,20120218,24832.30,24857.30,24826.60,24848.90,121884755
Overall Index,20120219,24848.50,24893.80,24848.50,24878.30,103515363
Overall Index,20120220,24871.40,24933.40,24871.40,24923.20,314830044
Overall Index,20120221,24944.40,25071.10,24944.40,25035.20,303211643
Overall Index,20120222,25034.90,25069.80,25012.60,25012.60,221074261
Overall Index,20120225,25027.00,25027.00,24936.10,24936.10,341078686
Overall Index,20120226,24937.10,24976.90,24937.10,24976.90,215780712
Overall Index,20120227,24986.50,25099.60,24986.50,25098.40,210683371
Overall Index,20120228,25148.60,25246.70,25148.60,25244.40,230183951
Overall Index,20120229,25248.30,25391.30,25248.30,25354.50,364770679
Overall Index,20120303,25354.50,25385.10,25354.50,25365.50,156008660
Overall Index,20120304,25369.20,25419.00,25369.20,25417.90,190160628
Overall Index,20120305,25427.80,25431.20,25317.10,25320.10,193678605
Overall Index,20120306,25342.50,25343.70,25307.90,25307.90,205410072
Overall Index,20120307,25316.60,25400.20,25316.60,25400.20,160160227
Overall Index,20120310,25410.90,25468.80,25410.90,25457.60,281887092
Overall Index,20120311,25477.10,25550.70,25477.10,25491.10,196141508
Overall Index,20120312,25495.40,25495.80,25300.00,25300.00,177467632
Overall Index,20120313,25271.70,25271.70,25246.30,25265.30,176485628
Overall Index,20120314,25267.50,25481.50,25267.50,25481.50,167501829
Overall Index,20120317,25446.50,25607.20,25446.50,25607.20,141561848
Overall Index,20120318,25607.70,25905.60,25607.70,25905.60,405411733
Overall Index,20120324,25929.70,26280.50,25929.70,26280.50,183517055
Overall Index,20120325,26281.90,26513.00,26281.90,26502.30,166632778
Overall Index,20120326,26516.40,26522.60,26408.70,26408.70,105040841
Overall Index,20120327,26425.70,26538.90,26425.70,26533.00,101039637
Overall Index,20120328,26530.80,26576.20,26530.80,26576.20,138774254
Overall Index,20120402,26577.40,26621.10,26484.80,26484.80,116738053
Overall Index,20120403,26499.80,26502.80,26327.00,26327.00,190305056
Overall Index,20120404,26323.60,26358.00,26300.30,26300.30,114449598
Overall Index,20120407,26315.90,26430.00,26315.90,26383.40,227017448
Overall Index,20120408,26383.70,26523.10,26383.70,26491.80,288568018
Overall Index,20120409,26500.00,26519.30,26482.60,26482.60,149556786
Overall Index,20120410,26456.70,26682.60,26456.70,26664.10,205642851
Overall Index,20120411,26679.00,26757.80,26674.90,26757.80,199181560
Overall Index,20120414,26766.40,26896.80,26766.40,26896.80,140995472
Overall Index,20120415,26897.00,27281.20,26897.00,27281.20,253959617
Overall Index,20120416,27411.80,27411.80,27245.20,27245.60,258115265
Overall Index,20120417,27245.70,27245.70,27178.60,27185.60,168054502
Overall Index,20120418,27200.00,27282.30,27200.00,27259.90,208294199
Overall Index,20120421,27262.00,27303.90,27211.70,27211.70,139748583
Overall Index,20120422,27210.40,27214.90,27169.30,27169.30,90004323
Overall Index,20120423,27170.60,27199.70,27085.30,27085.30,130448454
Overall Index,20120424,27085.20,27155.30,27085.20,27129.90,147460429
Overall Index,20120428,27135.60,27135.60,27010.10,27010.10,270190942
Overall Index,20120429,27011.60,27019.90,26953.80,26953.80,229179551
Overall Index,20120430,26953.60,26961.40,26953.40,26960.00,112085865
Overall Index,20120501,26975.70,26975.70,26948.90,26969.80,147527948
Overall Index,20120502,26968.20,26976.20,26951.80,26964.80,273054622
Overall Index,20120505,26991.90,27039.10,26935.70,26935.70,292512728
Overall Index,20120506,26934.60,26950.90,26932.10,26932.20,364961163
Overall Index,20120507,26919.00,26931.10,26886.30,26886.30,476704761
Overall Index,20120508,26886.10,26897.70,26870.50,26870.50,210011961
Overall Index,20120509,26888.30,26903.50,26871.90,26871.90,234284611
Overall Index,20120512,26871.80,26896.00,26743.40,26743.80,116571765
Overall Index,20120513,26784.50,26796.60,26657.00,26658.00,111837015
Overall Index,20120514,26657.50,26716.70,26657.50,26715.20,165269255
Overall Index,20120515,26728.80,26731.20,26677.20,26677.30,172784553
Overall Index,20120516,26683.60,26688.40,26652.50,26652.60,95014583
Overall Index,20120519,26662.20,26675.80,26651.60,26652.10,116885607
Overall Index,20120520,26656.80,26681.00,26656.80,26667.70,103404270
Overall Index,20120521,26667.30,26845.80,26667.30,26845.80,259105689
Overall Index,20120522,26845.00,26912.70,26845.00,26912.70,141456251
Overall Index,20120523,26925.30,27091.20,26925.30,27091.20,162157127
Overall Index,20120526,27092.80,27092.80,26909.30,26909.50,152123915
Overall Index,20120527,26910.00,26928.30,26905.00,26905.00,144434975
Overall Index,20120528,26904.80,26919.10,26848.70,26848.70,151864293
Overall Index,20120529,26851.90,26856.10,26803.60,26803.60,125276543
Overall Index,20120530,26804.00,26819.00,26755.80,26755.90,134627595
Overall Index,20120602,26756.40,26760.50,26734.60,26735.40,179306163
Overall Index,20120605,26737.30,26749.40,26693.00,26693.00,191251088
Overall Index,20120606,26691.70,26691.70,26623.00,26635.60,101613488
Overall Index,20120609,26635.10,26635.10,26365.10,26365.20,189780861
Overall Index,20120610,26364.90,26364.90,26264.80,26264.80,198792294
Overall Index,20120611,26269.20,26412.10,26269.20,26411.80,149187550
Overall Index,20120612,26420.90,26444.90,26420.90,26440.50,174426398
Overall Index,20120613,26429.50,26439.10,26423.50,26439.10,133576455
Overall Index,20120616,26437.40,26439.50,26406.70,26406.70,79696605
Overall Index,20120617,26408.20,26408.20,26325.50,26325.50,61822722
Overall Index,20120619,26326.20,26326.20,26291.80,26291.80,59248503
Overall Index,20120620,26290.40,26290.40,26165.90,26165.90,101389113
Overall Index,20120623,26161.30,26161.30,25938.10,25938.10,132323202
Overall Index,20120624,25901.90,25901.90,25681.00,25681.10,187450022
Overall Index,20120625,25685.70,25686.30,25558.30,25558.40,257899420
Overall Index,20120626,25546.60,25546.60,25325.00,25325.00,122901462
Overall Index,20120627,25261.20,25261.20,25054.60,25054.60,220165382
Overall Index,20120630,25053.70,25170.70,25053.70,25170.70,83472060
Overall Index,20120701,25187.40,25227.20,25183.60,25227.20,155017703
Overall Index,20120702,25260.40,25345.60,25260.40,25345.50,188261669
Overall Index,20120703,25345.40,25450.80,25345.40,25438.00,300747722
Overall Index,20120704,25463.80,25467.50,25416.90,25428.50,167396615
Overall Index,20120707,25433.30,25462.50,25433.30,25445.50,96301675
Overall Index,20120708,25412.10,25486.70,25352.90,25354.30,172130575
Overall Index,20120709,25362.50,25372.80,25279.20,25279.20,125370680
Overall Index,20120710,25280.10,25307.90,25275.20,25307.50,151186316
Overall Index,20120711,25322.80,25430.80,25322.80,25388.10,492920256
Overall Index,20120714,25381.30,25445.00,25381.30,25431.50,134614940
Overall Index,20120715,25433.30,25449.80,25296.10,25296.10,281915789
Overall Index,20120716,25292.90,25292.90,25159.70,25159.70,196405459
Overall Index,20120717,25155.30,25155.30,25021.30,25021.30,569996866
Overall Index,20120718,25021.00,25039.20,25013.50,25039.20,67692305
Overall Index,20120721,25044.90,25050.40,25021.20,25021.20,61624979
Overall Index,20120722,25024.70,25024.70,24996.00,24996.00,84100283
Overall Index,20120723,24996.80,25039.20,24995.70,25029.50,90078668
Overall Index,20120724,25035.10,25120.80,25035.10,25094.30,95332475
Overall Index,20120725,25099.30,25117.60,25088.80,25088.80,186843099
Overall Index,20120728,25103.20,25103.20,25023.30,25023.30,117859177
Overall Index,20120729,25022.50,25022.50,24747.40,24747.40,101380550
Overall Index,20120730,24727.70,24727.70,24550.40,24550.40,101191085
Overall Index,20120731,24547.30,24584.00,24546.60,24584.00,122292032
Overall Index,20120801,24581.70,24588.20,24546.70,24546.70,134308753
Overall Index,20120804,24544.50,24544.50,24332.60,24332.60,110531077
Overall Index,20120805,24304.50,24304.50,24108.50,24108.50,137214573
Overall Index,20120806,24105.20,24115.40,24001.00,24001.00,360268601
Overall Index,20120807,23997.30,23998.80,23854.60,23855.10,247973343
Overall Index,20120808,23852.10,23852.10,23767.50,23787.30,203740756
Overall Index,20120811,23793.70,23957.20,23793.70,23957.20,79683546
Overall Index,20120812,24008.50,24031.70,24008.50,24024.20,167817942
Overall Index,20120813,24054.60,24055.50,24045.80,24049.70,115292165
Overall Index,20120814,24061.70,24102.20,24061.70,24102.10,83937649
Overall Index,20120815,24105.90,24125.30,24105.90,24125.30,63873369
Overall Index,20120818,24126.80,24144.70,24126.80,24144.70,51367500
Overall Index,20120821,24165.50,24279.10,24165.50,24279.10,66639152
Overall Index,20120822,24299.00,24340.40,24299.00,24339.20,353483814
Overall Index,20120825,24363.50,24528.20,24363.50,24523.20,273997561
Overall Index,20120826,24566.40,24589.30,24554.80,24586.50,205795748
Overall Index,20120827,24609.50,24653.00,24599.90,24649.00,196025653
Overall Index,20120902,24662.30,24730.10,24662.30,24730.10,117965811
Overall Index,20120903,24729.50,25055.10,24729.50,25055.00,194953768
Overall Index,20120904,25031.80,25384.00,25031.80,25384.00,230103688
Overall Index,20120905,25373.10,25664.40,25373.10,25659.90,404041060
Overall Index,20120908,25658.00,25810.40,25658.00,25791.90,264079951
Overall Index,20120909,25794.60,25794.70,25569.00,25569.20,205497008
Overall Index,20120910,25582.40,25735.10,25574.40,25735.10,224672891
Overall Index,20120911,25735.50,25902.70,25735.50,25889.20,268243363
Overall Index,20120915,25888.20,26285.40,25888.20,26283.70,302839661
Overall Index,20120916,26282.60,26315.90,26217.20,26217.20,251125963
Overall Index,20120917,26221.90,26470.60,26221.90,26470.60,403865236
Overall Index,20120918,26433.00,26583.30,26433.00,26556.90,368877751
Overall Index,20120919,26587.80,26597.80,26514.50,26514.50,635541484
Overall Index,20120922,26519.40,26875.40,26519.40,26875.30,482498458
Overall Index,20120923,26884.20,27139.40,26884.20,27127.10,445685858
Overall Index,20120924,27126.60,27126.60,27059.20,27080.70,263110167
Overall Index,20120925,27102.00,27440.10,27102.00,27440.10,307555430
Overall Index,20120926,27445.60,28132.20,27445.60,28132.20,510615475
Overall Index,20120929,28134.10,28828.70,28134.10,28828.70,375296277
Overall Index,20120930,28832.40,29287.60,28832.40,29207.10,584127753
Overall Index,20121001,29230.50,29230.50,28788.80,28788.80,343334631
Overall Index,20121002,28795.70,28795.70,28591.60,28667.10,394456059
Overall Index,20121003,28817.40,29123.40,28817.40,29098.50,542114525
Overall Index,20121006,28817.40,29062.30,28789.50,28862.90,316118060
Overall Index,20121007,28864.90,28927.80,28858.60,28858.60,269904140
Overall Index,20121008,28895.60,29014.10,28895.60,29014.10,529433223
Overall Index,20121009,29040.80,29074.90,29032.50,29032.50,524460997
Overall Index,20121010,29030.40,29034.40,28845.70,28845.70,181347385
Overall Index,20121013,28832.20,28832.20,28557.90,28557.90,133841629
Overall Index,20121014,28553.60,28656.10,28532.00,28656.10,247160765
Overall Index,20121015,28710.40,29018.10,28710.40,28981.30,256026448
Overall Index,20121016,28953.40,29266.60,28953.40,29248.20,338777987
Overall Index,20121017,29248.20,29502.50,29248.20,29502.00,271990122
Overall Index,20121020,29501.00,29996.40,29501.00,29992.60,320790971
Overall Index,20121021,29993.60,30247.60,29993.60,30211.40,527954143
Overall Index,20121022,30245.60,30703.10,30245.60,30671.60,502273015
Overall Index,20121023,30664.70,30681.10,30615.70,30615.70,299257864
Overall Index,20121024,30594.20,30749.60,30594.20,30749.30,532474033
Overall Index,20121027,30751.80,31131.40,30751.80,31121.70,425329349
Overall Index,20121028,31117.40,31205.00,31117.40,31160.10,346306848
Overall Index,20121029,31207.80,31234.80,31198.40,31221.50,353043879
Overall Index,20121030,31272.40,31435.50,31272.40,31331.60,504749262
Overall Index,20121031,31330.20,31330.20,31082.00,31082.40,219539973
Overall Index,20121104,31102.40,31298.50,31100.90,31205.20,222229191
Overall Index,20121105,31166.90,31166.90,30736.60,30736.60,236796899
Overall Index,20121106,30749.00,30965.40,30749.00,30940.30,273902793
Overall Index,20121107,30940.50,31282.90,30940.50,31282.90,281610917
Overall Index,20121110,31284.10,31355.60,31149.80,31220.10,219963931
Overall Index,20121111,31218.40,31218.40,31015.60,31015.60,299093283
Overall Index,20121112,31008.60,31009.50,30969.20,30978.80,356835843
Overall Index,20121113,31025.00,31215.00,31025.00,31215.00,287858796
Overall Index,20121114,31255.10,31370.20,31255.10,31336.40,409377375
Overall Index,20121117,31350.80,31388.60,31260.30,31260.30,299550989
Overall Index,20121118,31259.20,31342.00,31259.20,31271.20,282712548
Overall Index,20121119,31291.00,31291.00,31096.50,31096.50,456881131
Overall Index,20121120,31097.80,31140.90,31085.40,31140.90,220511737
Overall Index,20121121,31175.60,31259.50,31175.60,31259.50,208907519
Overall Index,20121126,31264.30,31608.90,31264.30,31608.90,239197226
Overall Index,20121127,31608.30,32018.40,31608.30,32018.10,402430027
Overall Index,20121128,32017.60,32340.50,32017.60,32339.50,422570631
Overall Index,20121201,32339.10,32742.40,32339.10,32741.50,466545411
Overall Index,20121202,32737.60,33189.20,32737.60,33113.50,586228418
Overall Index,20121203,33114.10,33114.10,33015.10,33015.70,390800327
Overall Index,20121204,33016.90,33131.00,33016.90,33073.40,457546456
Overall Index,20121205,33096.10,33282.00,33096.10,33282.00,501513003
Overall Index,20121208,33297.00,33716.20,33297.00,33659.90,412083515
Overall Index,20121209,33662.30,33662.40,33544.00,33612.60,637192873
Overall Index,20121210,33612.70,33865.90,33612.70,33760.80,531863120
Overall Index,20121211,33799.40,33921.70,33799.40,33889.40,280340847
Overall Index,20121212,33914.00,33920.70,33687.00,33687.00,287542471
Overall Index,20121215,33718.00,33968.70,33718.00,33949.30,443473057
Overall Index,20121216,33947.00,34090.90,33947.00,34090.90,450674563
Overall Index,20121217,34090.30,34669.50,34090.30,34669.50,605712679
Overall Index,20121218,34887.40,35106.20,34887.40,35106.20,462844560
Overall Index,20121219,35183.50,35775.90,35183.50,35760.30,350456171
Overall Index,20121222,35183.50,36040.50,35798.70,36040.50,496368624
Overall Index,20121223,36039.80,36829.30,36039.80,36829.30,898871769
Overall Index,20121224,37105.20,37530.70,37105.20,37530.70,407660403
Overall Index,20121225,37728.90,37746.40,37364.70,37366.40,586856283
Overall Index,20121226,37414.00,37850.90,37396.90,37798.80,456733834
Overall Index,20121229,37799.20,37918.10,37622.40,37622.40,343516059
Overall Index,20121230,37614.30,37614.30,37088.90,37116.30,280908028
Overall Index,20121231,37295.70,37860.60,37295.70,37860.60,340561306
Overall Index,20130101,37861.60,38091.70,37861.60,37987.00,260866661
Overall Index,20130102,37987.40,37987.40,37648.50,37648.50,264454809
Overall Index,20130106,37646.60,37650.50,37059.00,37059.00,161873518
Overall Index,20130107,37060.00,37077.00,37014.90,37077.00,193891468
Overall Index,20130108,37098.10,37315.00,37098.10,37314.90,237485371
Overall Index,20130109,37323.20,37441.50,37323.20,37441.50,206721697
Overall Index,20130113,37436.00,37827.40,37436.00,37786.20,314985792
Overall Index,20130114,37892.60,38110.90,37892.60,38082.80,380213274
Overall Index,20130115,38208.60,38402.90,38208.60,38322.50,388354948
Overall Index,20130116,38312.90,38345.10,38220.00,38343.60,232172053
Overall Index,20130119,38146.10,38146.10,37898.80,37898.80,191567091
Overall Index,20130120,37835.10,37835.10,37627.50,37627.50,182055891
Overall Index,20130121,37628.50,37639.00,37284.00,37284.00,215099625
Overall Index,20130122,37193.60,37193.60,36594.00,36594.00,250264175
Overall Index,20130123,37193.60,37257.10,36771.60,37233.70,315956467
Overall Index,20130126,37404.00,37437.90,37404.00,37409.40,265115050
Overall Index,20130128,36723.30,36723.30,36616.90,36674.70,207943760
Overall Index,20130130,36668.40,36684.40,36544.70,36554.90,169131348
Overall Index,20130202,36570.30,36813.10,36570.30,36801.40,272461297
Overall Index,20130203,36812.60,36812.60,36755.50,36761.10,292808751
Overall Index,20130204,36724.10,36724.10,36447.00,36447.00,284124145
Overall Index,20130205,36455.40,36516.20,36454.80,36505.60,305945009
Overall Index,20130206,36528.50,36913.30,36528.50,36913.30,334973511
Overall Index,20130209,36961.90,38209.50,36961.90,38205.40,313819420
Overall Index,20130211,38240.40,38394.30,38240.40,38394.30,383594950
Overall Index,20130212,38497.00,38711.70,38497.00,38640.10,429469319
Overall Index,20130213,38716.20,38716.20,38576.90,38611.40,166660863
Overall Index,20130216,38649.80,38707.10,38646.60,38655.00,452464177
Overall Index,20130217,38698.20,38758.00,38698.20,38710.30,225909304
Overall Index,20130218,38745.10,38824.80,38739.40,38739.40,284505391
Overall Index,20130219,38764.30,38764.30,38550.80,38550.80,214472565
Overall Index,20130220,38556.90,38620.10,38479.20,38479.20,225901476
Overall Index,20130223,38522.50,38522.50,38325.80,38325.80,233023497
Overall Index,20130224,38327.70,38385.50,37931.10,37931.10,374224624
Overall Index,20130225,37910.90,37910.90,37350.60,37350.60,264901775
Overall Index,20130226,37351.00,37573.80,37314.40,37573.70,277201556
Overall Index,20130227,37588.60,37822.10,37588.60,37811.60,483958678
Overall Index,20130302,37803.30,37813.30,37437.20,37437.20,199978311
Overall Index,20130303,37439.50,37439.50,37133.60,37156.10,396252194
Overall Index,20130304,37168.70,37206.60,37135.90,37135.90,249339390
Overall Index,20130305,37210.80,37227.70,36950.60,36950.60,295411278
Overall Index,20130306,36942.00,36963.20,36925.10,36925.10,180973919
Overall Index,20130309,36925.40,36925.40,36585.50,36585.50,216354540
Overall Index,20130310,36588.80,37115.90,36585.70,37101.00,259826135
Overall Index,20130311,37178.20,37244.00,37144.60,37193.60,385815497
Overall Index,20130312,37193.30,37268.40,37137.70,37268.40,225015071
Overall Index,20130313,37408.50,37998.70,37408.50,37998.70,522238273
Overall Index,20130316,38047.20,38126.40,37854.80,37854.80,876334092
Overall Index,20130317,37734.70,37734.70,37514.00,37516.10,696712162
Overall Index,20130318,37527.50,38040.80,37527.50,38040.80,439074140
Overall Index,20130325,38074.80,38602.60,38074.80,38602.60,149355775
Overall Index,20130326,38707.20,39351.10,38707.20,39351.10,122483672
Overall Index,20130327,39563.30,39744.50,39563.30,39741.80,127163253
Overall Index,20130330,39821.60,39824.10,39688.20,39714.90,128900590
Overall Index,20130331,39742.60,39990.20,39742.60,39990.20,125450360
Overall Index,20130403,40020.80,40151.40,40015.10,40151.10,207799958
Overall Index,20130406,40199.60,40282.50,40134.20,40134.30,205727057
Overall Index,20130407,40119.40,40119.40,39915.60,39915.60,168859339
Overall Index,20130408,40071.90,40142.20,40066.20,40068.00,204459515
Overall Index,20130409,40282.70,40615.10,40282.70,40606.60,215881722
Overall Index,20130410,40615.40,40615.40,40533.00,40533.00,243556244
Overall Index,20130413,40546.50,40548.30,40255.10,40255.10,215318877
Overall Index,20130415,40274.80,40621.00,40274.80,40621.00,197658405
Overall Index,20130416,40649.70,40871.90,40639.50,40834.90,307711017
Overall Index,20130417,40968.70,41024.80,40747.60,40747.60,370500239
Overall Index,20130420,40748.90,40908.70,40550.70,40550.80,270845947
Overall Index,20130421,40550.40,40557.60,40396.30,40506.00,251226471
Overall Index,20130422,40506.70,41133.00,40506.70,41133.00,222731546
Overall Index,20130423,41134.30,41583.80,41134.30,41583.80,254761600
Overall Index,20130424,41701.40,42056.50,41701.40,42052.40,318969481
Overall Index,20130427,42054.60,42360.70,42054.60,42334.20,277538878
Overall Index,20130428,42499.50,42596.00,42499.50,42507.70,310347227
Overall Index,20130429,42509.60,43192.30,42509.60,43192.30,312044098
Overall Index,20130430,43290.10,44069.30,43290.10,43994.30,363489982
Overall Index,20130501,43999.70,44537.10,43999.70,44537.10,454453347
Overall Index,20130504,44892.10,45032.70,44892.10,44993.50,378659790
Overall Index,20130505,45033.20,45068.60,44897.10,44897.90,412193721
Overall Index,20130506,44903.30,44957.30,44815.10,44943.70,455617251
Overall Index,20130507,44952.40,45025.10,44707.20,44707.40,208689741
Overall Index,20130508,44909.60,44909.60,44683.90,44683.90,379650858
Overall Index,20130511,44602.80,45091.50,44582.10,45091.40,317607542
Overall Index,20130512,45480.90,45792.30,45480.90,45512.70,443745812
Overall Index,20130513,45512.90,45512.90,44963.30,44963.30,237446693
Overall Index,20130514,44826.80,44826.80,44129.00,44129.00,189942793
Overall Index,20130515,44297.70,44392.90,43864.20,43864.30,315618892
Overall Index,20130518,43864.30,43864.30,43300.90,43301.00,119113769
Overall Index,20130519,43302.70,43302.70,42733.80,42795.50,260085763
Overall Index,20130520,42851.30,43055.10,42851.30,43047.30,170989209
Overall Index,20130521,43074.10,43074.20,42839.20,42855.70,182271881
Overall Index,20130522,42777.60,42777.60,42631.60,42777.20,211125027
Overall Index,20130525,42837.60,43485.20,42837.60,43485.20,161507353
Overall Index,20130526,43486.20,43910.80,43486.20,43910.70,233743735
Overall Index,20130527,44013.90,44182.20,44013.90,44107.40,317134247
Overall Index,20130528,44268.20,44470.70,44264.90,44470.70,261656820
Overall Index,20130529,44622.60,45162.20,44622.60,45162.20,378301433
Overall Index,20130601,45247.50,45257.70,44925.80,44945.10,371655595
Overall Index,20130602,44981.00,45247.80,44974.90,45247.80,344512195
Overall Index,20130603,45309.80,45590.10,45309.80,45590.00,458536230
Overall Index,20130608,45673.00,45689.70,45488.20,45488.20,233307666
Overall Index,20130609,45487.90,45487.90,45199.10,45199.10,188281216
Overall Index,20130610,45180.80,45209.60,45110.70,45206.50,334879226
Overall Index,20130611,45212.70,45553.40,45212.70,45553.40,273854913
Overall Index,20130612,45706.80,45740.30,45670.70,45671.90,308498954
Overall Index,20130615,45951.20,46623.60,45951.20,46623.00,457369314
Overall Index,20130616,46902.30,47820.10,46902.30,47817.90,588834175
Overall Index,20130617,48122.00,48333.30,48025.20,48333.30,611876000
Overall Index,20130618,48526.10,48795.30,48526.10,48783.00,1893861086
Overall Index,20130619,48884.00,48930.40,48876.90,48916.70,1181843608
Overall Index,20130622,48902.80,49088.80,48539.30,48539.30,664340246
Overall Index,20130623,48575.30,48751.10,48575.30,48631.10,871836372
Overall Index,20130625,48651.80,48651.80,48576.30,48634.00,459180450
Overall Index,20130626,48718.50,49427.40,48718.50,49427.40,396801042
Overall Index,20130629,49714.00,50471.10,49714.00,50471.10,511056608
Overall Index,20130630,50599.50,51321.30,50599.50,51321.30,682096779
Overall Index,20130701,51585.10,52244.10,51585.10,52244.10,1038255020
Overall Index,20130702,52317.40,52317.40,51846.30,51846.30,1006911602
Overall Index,20130703,51942.80,52735.30,51942.80,52735.20,754312912
Overall Index,20130706,52747.50,54294.80,52747.50,54289.70,1102264403
Overall Index,20130707,54784.70,54895.40,54678.40,54768.60,1150213007
Overall Index,20130708,54816.60,54816.60,54616.00,54616.00,702097475
Overall Index,20130709,54661.60,54677.10,54534.20,54534.20,616513924
Overall Index,20130710,54667.10,55108.80,54667.10,55069.70,705782393
Overall Index,20130713,55070.80,55202.90,54743.60,54744.00,1035259278
Overall Index,20130714,54697.10,54697.10,54298.70,54298.70,566485366
Overall Index,20130715,54312.70,54552.00,54312.70,54509.30,608017858
Overall Index,20130716,54538.20,54558.30,54235.60,54235.90,785730761
Overall Index,20130717,54234.70,54433.70,54234.70,54433.60,576798992
Overall Index,20130720,54550.20,54873.40,54550.20,54872.30,561731991
Overall Index,20130721,55097.40,55211.60,55089.90,55101.00,563413505
Overall Index,20130722,55175.40,55354.90,55175.40,55329.30,521576616
Overall Index,20130723,55578.30,55942.40,55564.10,55942.40,772997853
Overall Index,20130724,55943.80,56426.30,55943.80,56426.30,609764949
Overall Index,20130727,56428.40,56563.60,56290.30,56290.30,568863971
Overall Index,20130728,56292.10,56551.90,56100.30,56551.90,519984582
Overall Index,20130729,56549.10,57070.20,56328.10,56400.20,667135643
Overall Index,20130731,56542.60,57168.20,56542.60,57168.20,647845442
Overall Index,20130803,57166.30,57648.60,57166.30,57397.20,917476615
