<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20090304,8200.80,8200.80,8184.20,8185.30,15900708
Overall Index,20090307,8176.00,8176.00,8133.50,8133.50,15883220
Overall Index,20090308,8130.20,8130.20,8111.00,8111.20,18241229
Overall Index,20090309,8111.90,8111.90,8096.00,8096.00,14195437
Overall Index,20090310,8095.90,8136.00,8089.90,8126.50,24876844
Overall Index,20090311,8131.60,8136.50,8127.40,8130.40,49010484
Overall Index,20090314,8131.70,8132.60,8119.00,8120.30,47365027
Overall Index,20090316,8120.40,8128.50,7972.30,7977.10,77539252
Overall Index,20090317,7978.90,7980.50,7965.30,7972.30,92511733
Overall Index,20090318,7974.40,7975.00,7955.20,7966.50,82347367
Overall Index,20090325,7966.20,7966.50,7964.10,7965.60,8287992
Overall Index,20090328,7965.00,7967.00,7962.10,7965.80,10809009
Overall Index,20090329,7961.60,7961.60,7949.30,7955.40,20214777
Overall Index,20090330,7957.80,7970.30,7955.20,7970.30,16563010
Overall Index,20090331,7976.10,7990.90,7976.10,7988.70,31654393
Overall Index,20090404,7989.10,8001.60,7986.60,8001.60,22199439
Overall Index,20090405,7995.60,8006.00,7994.30,8006.00,40876741
Overall Index,20090406,8009.50,8049.00,8009.50,8049.00,30413756
Overall Index,20090407,8060.80,8077.90,8060.40,8077.90,37834725
Overall Index,20090408,8082.40,8111.10,8082.40,8111.10,26395865
Overall Index,20090411,8118.80,8153.50,8117.60,8153.50,23747070
Overall Index,20090412,8174.20,8176.00,8165.50,8175.90,51329456
Overall Index,20090413,8189.60,8203.60,8189.60,8203.60,57739444
Overall Index,20090414,8236.00,8252.50,8236.00,8252.40,73334747
Overall Index,20090415,8246.90,8261.70,8246.90,8251.60,39761013
Overall Index,20090418,8251.20,8290.40,8251.20,8290.40,63018011
Overall Index,20090419,8306.20,8348.00,8306.20,8348.00,71853075
Overall Index,20090420,8351.30,8431.20,8351.30,8431.20,99531564
Overall Index,20090421,8434.20,8436.30,8434.20,8434.90,16217968
Overall Index,20090422,8457.60,8485.40,8457.60,8476.40,81308188
Overall Index,20090425,8490.30,8497.90,8468.40,8469.10,62495536
Overall Index,20090426,8470.10,8523.20,8470.10,8502.60,62867611
Overall Index,20090427,8503.00,8521.00,8503.00,8518.10,54260348
Overall Index,20090428,8533.50,8533.70,8526.80,8527.80,121128789
Overall Index,20090429,8546.90,8546.90,8533.30,8535.00,40967613
Overall Index,20090502,8546.30,8551.60,8517.20,8548.30,48290510
Overall Index,20090503,8557.00,8595.20,8557.00,8584.60,56880538
Overall Index,20090504,8624.90,8638.80,8624.00,8638.30,58462401
Overall Index,20090505,8692.90,8702.50,8692.90,8699.50,76206622
Overall Index,20090506,8743.10,8774.20,8743.10,8774.20,48955870
Overall Index,20090509,8830.20,8872.40,8830.20,8872.40,45697465
Overall Index,20090510,8878.00,8930.40,8878.00,8930.40,59449003
Overall Index,20090511,8982.60,8989.90,8975.30,8989.50,211609077
Overall Index,20090512,8988.50,8995.90,8965.70,8968.30,128913971
Overall Index,20090513,8938.00,8938.00,8924.50,8932.10,90427284
Overall Index,20090516,8922.70,8923.40,8882.90,8888.00,77885285
Overall Index,20090517,8896.10,8933.20,8858.40,8919.40,80567706
Overall Index,20090518,8930.20,8966.90,8930.20,8963.80,58056462
Overall Index,20090519,8969.10,8978.20,8956.30,8956.30,220321066
Overall Index,20090520,8968.20,9006.00,8968.20,9000.80,140575850
Overall Index,20090523,9000.90,9042.80,9000.90,9042.10,50508722
Overall Index,20090524,9050.70,9051.70,9016.30,9019.50,195181149
Overall Index,20090525,9017.20,9017.20,8971.10,8971.10,100958459
Overall Index,20090526,8967.20,8967.20,8934.60,8934.60,110291336
Overall Index,20090527,8937.00,8953.70,8937.00,8953.70,43891861
Overall Index,20090530,8956.90,9001.90,8956.90,9001.30,61796820
Overall Index,20090531,9002.50,9013.00,8998.20,9000.60,78904182
Overall Index,20090601,9007.70,9013.20,9000.80,9006.30,89171028
Overall Index,20090602,9011.90,9032.60,9010.40,9032.30,63475940
Overall Index,20090603,9048.80,9082.40,9048.60,9081.70,69872316
Overall Index,20090606,9104.00,9123.00,9104.00,9121.30,105222195
Overall Index,20090607,9146.10,9195.20,9143.90,9195.10,130893227
Overall Index,20090608,9199.20,9236.60,9199.20,9235.50,74538651
Overall Index,20090609,9240.00,9280.10,9240.00,9278.50,51482053
Overall Index,20090610,9299.70,9343.30,9299.70,9343.30,109826144
Overall Index,20090613,9366.90,9384.70,9365.40,9365.40,213973005
Overall Index,20090614,9370.80,9370.80,9310.30,9310.30,129127083
Overall Index,20090615,9310.10,9310.10,9299.00,9299.00,81531960
Overall Index,20090616,9295.60,9295.60,9270.80,9271.10,50257544
Overall Index,20090617,9266.20,9266.20,9247.20,9247.20,50503100
Overall Index,20090620,9245.70,9249.80,9242.30,9247.70,26358824
Overall Index,20090621,9252.10,9258.50,9248.10,9258.40,30161849
Overall Index,20090622,9262.20,9264.20,9249.60,9251.80,69662800
Overall Index,20090623,9253.60,9342.70,9253.60,9340.00,86919859
Overall Index,20090624,9340.20,9349.20,9338.10,9338.60,76545730
Overall Index,20090627,9338.10,9342.90,9337.50,9342.60,91722450
Overall Index,20090628,9340.30,9360.70,9340.30,9353.70,99694125
Overall Index,20090629,9356.70,9364.10,9356.40,9360.10,58011166
Overall Index,20090630,9366.20,9387.90,9365.20,9387.60,45911056
Overall Index,20090701,9397.70,9480.00,9397.70,9471.00,65592895
Overall Index,20090704,9472.60,9486.00,9470.40,9470.40,62686622
Overall Index,20090705,9457.80,9463.90,9452.70,9452.70,75997798
